measure,dateTime,date,value (m3/s),completeness,quality,qcode
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-04-19T09:00:00Z,2010-04-19,2.14,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-04-20T09:00:00Z,2010-04-20,2.11,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-04-21T09:00:00Z,2010-04-21,2.15,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-04-22T09:00:00Z,2010-04-22,1.97,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-04-23T09:00:00Z,2010-04-23,1.94,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-04-24T09:00:00Z,2010-04-24,1.89,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-04-25T09:00:00Z,2010-04-25,2.02,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-04-26T09:00:00Z,2010-04-26,1.9,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-04-27T09:00:00Z,2010-04-27,1.88,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-04-28T09:00:00Z,2010-04-28,1.84,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-04-29T09:00:00Z,2010-04-29,1.84,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-04-30T09:00:00Z,2010-04-30,1.78,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-05-01T09:00:00Z,2010-05-01,1.75,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-05-02T09:00:00Z,2010-05-02,1.72,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-05-03T09:00:00Z,2010-05-03,1.66,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-05-04T09:00:00Z,2010-05-04,1.62,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-05-05T09:00:00Z,2010-05-05,1.66,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-05-06T09:00:00Z,2010-05-06,1.7,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-05-07T09:00:00Z,2010-05-07,1.59,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-05-08T09:00:00Z,2010-05-08,1.54,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-05-09T09:00:00Z,2010-05-09,1.54,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-05-10T09:00:00Z,2010-05-10,1.59,Complete,Good,
